sampleID	feature-id	time_point	collection_status	species	depth	treatment	Transp_To	Tag#	Tag_Code	Tag_Code2	Tag_Color
USVI-109	USVI-109_S32	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	62	O62	O62F	Orange
USVI-110	USVI-110_S33	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	57	O57	O57F	Orange
USVI-111	USVI-111_S34	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	87	Y87	Y87F	Yellow
USVI-112	USVI-112_S139	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	92	Y92	Y92F	Yellow
USVI-113	USVI-113_S140	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	97	Y97	Y97F	Yellow
USVI-114	USVI-114_S141	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	3	B3	B3F	Blue
USVI-115	USVI-115_S35	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	13	B13	B13F	Blue
USVI-117	USVI-117_S142	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	73	O73	O73F	Orange
USVI-118	USVI-118_S37	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	27	B27	B27F	Blue
USVI-119	USVI-119_S143	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	50	Y50	Y50F	Yellow
USVI-120	USVI-120_S38	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	42	B42	B42F	Blue
USVI-121	USVI-121_S39	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	47	B47	B47F	Blue
USVI-122	USVI-122_S144	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	52	B52	B52F	Blue
USVI-123	USVI-123_S40	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	58	B58	B58F	Blue
USVI-124	USVI-124_S41	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	62	B62	B62F	Blue
USVI-125	USVI-125_S145	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	73	B73	B73F	Blue
USVI-126	USVI-126_S146	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	83	B83	B83F	Blue
USVI-127	USVI-127_S147	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	87	B87	B87F	Blue
USVI-128	USVI-128_S148	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	98	B98	B98F	Blue
USVI-129	USVI-129_S42	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	3	O3	O3F	Orange
USVI-130	USVI-130_S43	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	7	O7	O7F	Orange
USVI-131	USVI-131_S44	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	13	O13	O13F	Orange
USVI-132	USVI-132_S45	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	18	O18	O18F	Orange
USVI-133	USVI-133_S149	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	23	O23	O23F	Orange
USVI-134	USVI-134_S150	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	28	O28	O28F	Orange
USVI-135	USVI-135_S151	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	32	O32	O32F	Orange
USVI-136	USVI-136_S46	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	38	O38	O38F	Orange
USVI-137	USVI-137_S47	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	42	O42	O42F	Orange
USVI-232	USVI-232_S88	two	control	O. faveolata	Shallow	Shallow_Shallow	S_S	67	B67	B67F	Blue
